distretto,day_of_year,precipitation_p1,precipitation_p10,precipitation_p25,precipitation_p75,precipitation_p50,precipitation_p95,precipitation_p99
7656.0,162.0,0.0,0.0,0.0,4.103317159815596,0.0,16.379262895280633,18.46616929686758
7669.0,162.0,0.0,0.0,0.0,0.2802059845990644,0.0,15.027533177046031,18.164570252989957
7668.0,162.0,0.0,0.0,0.0,1.1063236099464175,0.0,16.53204365102766,19.43997771225231
7670.0,162.0,0.0,0.0,0.0,4.933335843439807,0.0,17.83143952180484,20.99147728960118
7639.0,162.0,0.0,0.0,0.0,5.561594162886433,0.0,22.514723400989258,26.202781668833193
7680.0,162.0,0.0,0.0,0.0,3.509903448666243,0.0,19.554277137030144,24.536035824013673
7679.0,162.0,0.0,0.0,0.0,3.588870983948719,0.0,19.535408920105233,22.58879244064169
7688.0,162.0,0.0,0.0,0.0,0.18193375636358503,0.0,26.788803903185745,36.73899535051326
7672.0,162.0,0.0,0.0,0.0,0.010381707722774655,0.0,23.1833636864008,29.48298568907063
7678.0,162.0,0.0,0.0,0.0,0.04950302620708481,0.0,17.41399928778979,18.688862555439485
7676.0,162.0,0.0,0.0,0.0,0.15665575507272678,0.0,12.119912395478373,13.584964481152149
7671.0,162.0,0.0,0.0,0.0,0.6460579083136452,0.0,17.56517729147308,23.270122475626906
7674.0,162.0,0.0,0.0,0.0,0.0,0.0,18.46258918090936,22.3538697990699
7673.0,162.0,0.0,0.0,0.0,0.0,0.0,16.64379186742182,21.879406545804265
7677.0,162.0,0.0,0.0,0.0,4.529600285353995,0.0,17.624290383849573,20.013657588781157
7675.0,162.0,0.0,0.0,0.0,1.981409551038936,0.0,13.482621410476385,15.014161582699447
7657.0,163.0,0.0,0.0,0.0,0.9890991387165089,0.0,21.930486277136335,29.63996419328936
11058.0,163.0,0.0,0.0,0.0,0.0,0.0,16.639081954956055,21.341623306274414
7662.0,163.0,0.0,0.0,0.0,2.095713966297654,0.0,25.94206028864319,32.88232400748881
7661.0,163.0,0.0,0.0,0.0,2.932525450696061,0.0,22.347316346358877,24.926417139770017
7663.0,163.0,0.0,0.0,0.0,1.6889609998922548,0.0,28.772189967984794,39.89408516911606
7667.0,163.0,0.0,0.0,0.0,1.4903634954251517,0.0,22.165028599172103,24.491693424630864
7660.0,163.0,0.0,0.0,0.0,3.819967097440359,0.0,29.309646926829632,43.96576800220735
7658.0,163.0,0.0,0.0,0.0,1.277955360828032,0.0,26.00299671307065,37.16236859836431
7666.0,163.0,0.0,0.0,0.0,0.0,0.0,23.280276789563764,23.423751490166854
7659.0,163.0,0.0,0.0,0.0,2.068892985772005,0.0,26.651306226279853,36.73725788005219
7656.0,163.0,0.0,0.0,0.0,1.990126322884853,0.0,20.220155269820587,25.08570844372678
7669.0,163.0,0.0,0.0,0.0,2.076495487915946,0.0,22.926205382733208,25.225028966516767
7668.0,163.0,0.0,0.0,0.0,2.445871616715121,0.0,22.04028220100797,24.633884277405734
7670.0,163.0,0.0,0.0,0.0,2.4477018754563495,0.0,21.168868316237585,23.25969459036787
7639.0,163.0,0.0,0.0,0.0,1.9890365507843393,0.0,31.07895317154017,38.17218121792941
7680.0,163.0,0.0,0.0,0.0,2.4166760387791433,0.0,23.305975109518442,32.10168460208199
7679.0,163.0,0.0,0.0,0.0,1.5409686583465025,0.0,25.92488877802008,35.74992674980668
7688.0,163.0,0.0,0.0,0.0,4.471708405998829,0.0,22.172094644783872,28.158246383400137
7672.0,163.0,0.0,0.0,0.0,2.6711826045090383,0.0,22.63282502733878,23.88712037203097
7678.0,163.0,0.0,0.0,0.0,4.511796811460052,0.0,25.799029231706953,29.585537820234396
7676.0,163.0,0.0,0.0,0.0,1.0742058037017683,0.0,25.842349445445972,27.335088206335456
7671.0,163.0,0.0,0.0,0.0,2.588302847903414,0.0,21.0750534118526,22.331397429364163
7674.0,163.0,0.0,0.0,0.0,4.780483131236138,0.0,21.984511168361724,22.77832735295327
7673.0,163.0,0.0,0.0,0.0,2.4751559113824153,0.0,23.23316125302425,24.60570750415193
7677.0,163.0,0.0,0.0,0.0,3.1998054776720455,0.0,23.633610647269375,25.288494187057033
7675.0,163.0,0.0,0.0,0.0,0.9696808048068658,0.0,21.066818378121717,23.893671188769716
7657.0,164.0,0.0,0.0,0.0,4.862133995144732,0.0,22.824509054624603,26.530745041293947
11058.0,164.0,0.0,0.0,0.0,4.953125,0.0,25.554828643798828,28.429222106933594
7662.0,164.0,0.0,0.0,0.0,8.428709557971116,0.0,21.518712593574445,24.391178251728988
7661.0,164.0,0.0,0.0,0.0,6.838517336673607,0.0,26.49574632901567,33.26141358887002
7663.0,164.0,0.0,0.0,0.0,9.11317583699998,0.0,22.51599392346925,26.200784328097654
7667.0,164.0,0.0,0.0,0.0,6.838427474780031,0.0,21.29150387365727,24.488515081952745
7660.0,164.0,0.0,0.0,0.0,8.474509048342258,0.0,22.026135483230828,25.37897045040969
7658.0,164.0,0.0,0.0,0.0,3.4942641498697924,0.0,21.25282536063952,27.311703128462586
7666.0,164.0,0.0,0.0,0.0,5.978219417815513,0.0,19.524278389139376,22.585732261170733
7659.0,164.0,0.0,0.0,0.0,8.460195278438054,0.0,23.013972198221392,26.50537393089346
7656.0,164.0,0.0,0.0,0.0,5.217433901745254,0.0,26.242387100426704,32.33734763869546
7669.0,164.0,0.0,0.0,0.0,2.9483952329557286,0.0,16.575602984932644,19.288298483160794
7668.0,164.0,0.0,0.0,0.0,3.27604505186098,0.0,18.517008816284402,20.77497897795147
7670.0,164.0,0.0,0.0,0.0,6.028556535544998,0.0,23.97455093322632,29.492783905671455
7639.0,164.0,0.0,0.0,0.0,4.2532542372589806,0.0,26.494778249860193,31.916578606836072
7680.0,164.0,0.0,0.0,0.0,5.646632876789059,0.0,26.538792581421138,30.56645477955079
7679.0,164.0,0.0,0.0,0.0,3.5910353885899244,0.0,20.34450677781821,24.33831170564268
7688.0,164.0,0.0,0.0,0.0,7.538108414683672,0.0,26.037593883337436,30.062759360789542
7672.0,164.0,0.0,0.0,0.0,7.757015714911661,0.0,17.5461294804288,18.833098447045362
7678.0,164.0,0.0,0.0,0.0,8.122709863360866,0.0,25.520365438902413,32.69329090230355
7676.0,164.0,0.0,0.0,0.0,4.385728487314042,0.0,23.884266849747497,33.32470632317774
7671.0,164.0,0.0,0.0,0.0,3.0533568307114103,0.0,12.733127089804407,14.783887043709868
7674.0,164.0,0.0,0.0,0.0,0.3095034885915417,0.0,20.906370010709807,22.878177659852163
7673.0,164.0,0.0,0.0,0.0,4.88671443174931,0.0,18.82125945088624,23.574373049802922
7677.0,164.0,0.0,0.0,0.0,5.8251933849350195,0.0,22.45532406761186,28.89729262639074
7675.0,164.0,0.0,0.0,0.0,5.395002573742666,0.0,19.240330628405463,20.751653971403517
7657.0,165.0,0.0,0.0,0.0,0.0,0.0,6.246273333410514,8.546496383177416
11058.0,165.0,0.0,0.0,0.0,0.0,0.0,8.548206329345703,10.11727523803711
7662.0,165.0,0.0,0.0,0.0,0.0,0.0,4.5795082967652885,7.471326886482961
7661.0,165.0,0.0,0.0,0.0,0.0,0.0,4.389388434855721,7.078122606734545
7663.0,165.0,0.0,0.0,0.0,0.0,0.0,9.981046265960435,11.513434142117172
7667.0,165.0,0.0,0.0,0.0,0.0,0.0,5.389378573027222,7.763274625391414
7660.0,165.0,0.0,0.0,0.0,0.0,0.0,13.246058551550213,14.176362763534078
7658.0,165.0,0.0,0.0,0.0,0.0,0.0,9.125869610458812,10.624627911792258
7666.0,165.0,0.0,0.0,0.0,0.0,0.0,4.147711208018851,6.664569627477768
7659.0,165.0,0.0,0.0,0.0,0.0,0.0,6.706422476005126,8.989442137597536
7656.0,165.0,0.0,0.0,0.0,0.0,0.0,8.18373058138229,10.371781164368926
7669.0,165.0,0.0,0.0,0.0,0.0,0.0,8.56925852823358,12.604411113733523
7668.0,165.0,0.0,0.0,0.0,0.0,0.0,6.095268648399249,8.254499948255686
7670.0,165.0,0.0,0.0,0.0,0.0,0.0,8.51616327734892,10.911686451000296
7639.0,165.0,0.0,0.0,0.0,0.07863911007469125,0.0,10.058017031335119,11.793780272270102
7680.0,165.0,0.0,0.0,0.0,0.0,0.0,7.60123101790365,10.353348439066682
7679.0,165.0,0.0,0.0,0.0,0.0,0.0,9.469841366359026,11.053162784352319
7688.0,165.0,0.0,0.0,0.0,0.0,0.0,11.270789994406945,13.337339853239692
7672.0,165.0,0.0,0.0,0.0,0.0,0.0,6.1439714222199555,6.203683290893672
7678.0,165.0,0.0,0.0,0.0,0.0,0.0,12.266491954144705,16.339568599322757
7676.0,165.0,0.0,0.0,0.0,0.0,0.0,16.40805379872048,26.13662170600004
7671.0,165.0,0.0,0.0,0.0,0.0,0.0,4.251492900442328,5.733451024094394
7674.0,165.0,0.0,0.0,0.0,0.0,0.0,3.045949661235485,5.094698749968998
7673.0,165.0,0.0,0.0,0.0,0.0,0.0,8.127583945792187,10.647073670282534
7677.0,165.0,0.0,0.0,0.0,0.0,0.0,11.407123640506184,15.01617251701473
7675.0,165.0,0.0,0.0,0.0,0.0,0.0,13.712502646773444,21.093736434400327
7657.0,166.0,0.0,0.0,0.0,3.208974586847167,0.0,12.25169229816175,14.695376914219736
11058.0,166.0,0.0,0.0,0.0,1.3134711980819702,0.0,8.365598678588867,10.11727523803711
7662.0,166.0,0.0,0.0,0.0,3.0071678885124022,0.0,17.12363292419519,20.418054171494884
7661.0,166.0,0.0,0.0,0.0,1.2084172405645108,0.0,20.333050476399436,25.261441657827692
7663.0,166.0,0.0,0.0,0.0,3.7531800241804785,0.0,16.656081234201427,19.94704258455803
7667.0,166.0,0.0,0.0,0.0,0.6136966619544477,0.0,16.986862192487315,21.501457433948012
7660.0,166.0,0.0,0.0,0.0,3.6203492734782223,0.0,18.079623285769824,21.982884001103667
7658.0,166.0,0.0,0.0,0.0,4.4573506714255355,0.0,14.911013993525602,18.581184299182155
7666.0,166.0,0.0,0.0,0.0,0.6400166531826588,0.0,19.522295144263737,24.599273535545834
7659.0,166.0,0.0,0.0,0.0,3.6075261460969226,0.0,15.79605677492884,18.658651442883112
